source,user,timestamp,information
Github,Dan Jutan,2020-05-04T21:29:52Z,Merge pull request #57 from GeorgiaTechDHLab/devDev
Github,Jianing Fu,2020-05-02T02:40:17Z,navline scrolling complete
Github,Jianing Fu,2020-04-09T02:13:32Z,navline portal complete
Github,Dan Jutan,2020-04-06T18:19:14Z,new notebook endpoints and tests
Github,Dan Jutan,2020-04-06T14:15:10Z,mongod setup command
Github,Dan Jutan,2020-04-06T13:47:25Z,"Add gitpod configthis commit adds support for Gitpod.io, a free automateddev environment that makes contributing and generally working on GitHubprojects much easier. It allows anyone to start a ready-to-code devenvironment for any branch, issue and pull request with a single click."
Github,Jianing Fu,2020-04-05T04:59:41Z,added vuex part for chapters
Github,Jianing Fu,2020-04-05T03:10:15Z,motifing for eventbus
Github,Dan Jutan,2020-03-25T23:00:46Z,strip attributes from highlight (we might not want this but it makes sense right now
Github,Dan Jutan,2020-03-25T22:32:14Z,add basic serialization
Github,Dan Jutan,2020-03-23T21:42:34Z,add text input; fix continuous trans-paragraph highlighting
Github,Dan Jutan,2020-03-23T13:59:42Z,move anonymous function into component method
Github,Dan Jutan,2020-03-23T13:54:06Z,fix highlight breakage which was due to triggering the highlight code twice
Github,Dan Jutan,2020-03-23T13:49:02Z,don't fire highlight functions on right click
Github,Dan Jutan,2020-03-23T13:34:41Z,expand drag to full highlight element (for cases where the highlight element has multiple children
Github,Dan Jutan,2020-03-09T18:40:36Z,fix wholeText bug
Github,Dan Jutan,2020-03-09T18:24:49Z,drag to change position
Github,Jianing Fu,2020-03-09T03:50:22Z,"added hoverover, working on click event"
Github,Dan Jutan,2020-03-02T21:21:59Z,fix drop
Github,Dan Jutan,2020-03-02T17:10:32Z,allow the dev app to run via proxy
Github,Dan Jutan,2020-03-02T16:51:16Z,create notebook vue components
Github,Dan Jutan,2020-03-01T21:49:22Z,fix pointer and further narrow down y pos
Github,Dan Jutan,2020-03-01T21:13:03Z,fix y pos of context menu
Github,Jianing Fu,2020-02-29T23:07:12Z,navline static part fully functioning. able to adjust itself based on parsed in data
Github,Jianing Fu,2020-02-14T01:47:54Z,organize navline svg
Github,Dan Jutan,2020-02-10T18:59:15Z,add context menu
Github,Dan Jutan,2020-02-06T21:51:41Z,delete logs and comments
Github,Dan Jutan,2020-02-06T21:50:42Z,"fix a bunch of bugs, including cross-paragraph highlights!"
Github,Dan Jutan,2020-02-06T18:52:24Z,fix double highlighting
Github,Dan Jutan,2020-02-06T17:27:45Z,committing highlight stuff
Github,Jianing Fu,2020-02-06T00:46:04Z,add naline svg
Github,Dan Jutan,2020-01-13T19:45:34Z,Merge pull request #56 from GeorgiaTechDHLab/devMerge dev into master
Github,Jianing Fu,2020-01-10T20:50:44Z,timeline complete. cleaned up some css
Github,Dan Jutan,2019-12-18T16:45:30Z,fix merge
Github,Dan Jutan,2019-12-18T16:38:36Z,increase vertical padding on drop down item
Github,Jianing Fu,2019-12-18T16:38:27Z,Merge branch 'dev' of github.com:GeorgiaTechDHLab/DataByDesign into dev
Github,Dan Jutan,2019-12-18T16:36:50Z,(temporarily?) make h3 text more bold
Github,Dan Jutan,2019-12-18T16:34:58Z,(temporarily?) make p text more bold
Github,Dan Jutan,2019-12-18T16:32:36Z,remove dummy nav from chapter scaffolding
Github,Jianing Fu,2019-12-18T16:31:11Z,"fixed grid pos, fixing style"
Github,Dan Jutan,2019-12-18T16:30:26Z,make main content move down below fixed nav
Github,Dan Jutan,2019-12-18T16:23:35Z,make nav look like design
Github,Dan Jutan,2019-12-18T16:22:05Z,fix Roboto fonts
Github,Dan Jutan,2019-12-18T15:51:06Z,fix fonts
Github,Dan Jutan,2019-12-17T22:20:44Z,start making nav look right
Github,Dan Jutan,2019-12-17T20:39:55Z,add border gradient
Github,Dan Jutan,2019-12-17T19:39:10Z,make header fixed
Github,Jianing Fu,2019-12-15T17:26:40Z,Merge branch 'dev' of github.com:GeorgiaTechDHLab/DataByDesign into dev
Github,Jianing Fu,2019-12-15T17:19:14Z,"added grid, fixed some bug in the time line"
